symbol,entry_date,exit_date,entry_price,exit_price,days_held,pnl_pct,pnl_rs,exit_reason,result
MANKIND,2024-06-24,2024-07-29,2176.0,2085.0,23,-4.18,-91.0,SMA_EXIT,LOSS
MANKIND,2024-10-23,2024-11-05,2582.0,2730.0,8,5.73,148.0,RSI_EXIT,WIN
MANKIND,2024-11-14,2024-12-20,2532.15,2907.8,23,14.84,375.65,RSI_EXIT,WIN
MANKIND,2025-01-13,2025-02-13,2653.1,2448.0,23,-7.73,-205.1,SMA_EXIT,LOSS
LICI,2023-09-26,2023-10-25,647.85,620.0,18,-4.3,-27.85,SMA_EXIT,LOSS
LICI,2024-02-29,2024-04-02,1012.0,972.65,20,-3.89,-39.35,RSI_EXIT,LOSS
LICI,2024-04-16,2024-05-23,954.95,1056.0,24,10.58,101.05,RSI_EXIT,WIN
LICI,2024-06-27,2024-07-11,1003.55,1052.95,9,4.92,49.4,RSI_EXIT,WIN
LICI,2024-08-06,2024-09-19,1120.0,1023.0,30,-8.66,-97.0,MAX_HOLD,LOSS
LICI,2024-09-20,2024-10-04,1008.0,973.0,8,-3.47,-35.0,SMA_EXIT,LOSS
LICI,2025-07-14,2025-08-28,920.6,887.0,30,-3.65,-33.6,MAX_HOLD,LOSS
LICI,2025-09-29,2025-10-08,872.45,911.0,5,4.42,38.55,RSI_EXIT,WIN
LICI,2025-11-25,2025-12-04,892.1,871.8,6,-2.28,-20.3,SMA_EXIT,LOSS
PIDILITIND,2022-01-28,2022-02-25,1230.95,1162.58,19,-5.55,-68.37,SMA_EXIT,LOSS
PIDILITIND,2022-09-30,2022-11-17,1353.65,1341.23,30,-0.92,-12.42,MAX_HOLD,LOSS
PIDILITIND,2022-12-14,2023-01-12,1322.9,1240.95,20,-6.19,-81.95,SMA_EXIT,LOSS
PIDILITIND,2023-07-04,2023-07-20,1285.72,1347.98,11,4.84,62.26,RSI_EXIT,WIN
PIDILITIND,2023-07-26,2023-08-11,1305.97,1275.03,11,-2.37,-30.94,SMA_EXIT,LOSS
PIDILITIND,2024-04-16,2024-05-17,1440.93,1509.05,20,4.73,68.12,RSI_EXIT,WIN
PIDILITIND,2024-10-07,2024-11-14,1613.5,1500.0,27,-7.03,-113.5,SMA_EXIT,LOSS
PIDILITIND,2025-09-18,2025-09-29,1531.0,1479.0,6,-3.4,-52.0,SMA_EXIT,LOSS
PIDILITIND,2025-10-29,2025-11-03,1492.0,1450.0,2,-2.82,-42.0,SMA_EXIT,LOSS
HAVELLS,2022-09-09,2022-10-03,1364.5,1349.05,15,-1.13,-15.45,RSI_EXIT,LOSS
HAVELLS,2022-10-12,2022-10-14,1282.0,1247.95,1,-2.66,-34.05,SMA_EXIT,LOSS
HAVELLS,2023-06-26,2023-07-20,1279.95,1367.9,16,6.87,87.95,RSI_EXIT,WIN
HAVELLS,2024-01-20,2024-01-24,1388.45,1299.0,1,-6.44,-89.45,SMA_EXIT,LOSS
HAVELLS,2024-07-19,2024-08-19,1870.0,1886.0,19,0.86,16.0,RSI_EXIT,WIN
HAVELLS,2024-10-04,2024-10-28,1968.95,1705.0,15,-13.41,-263.95,SMA_EXIT,LOSS
KALYANKJIL,2022-09-27,2022-10-19,90.75,108.05,14,19.06,17.3,RSI_EXIT,WIN
KALYANKJIL,2022-11-21,2022-12-05,99.0,110.95,9,12.07,11.95,RSI_EXIT,WIN
KALYANKJIL,2022-12-26,2023-02-08,108.0,118.2,30,9.44,10.2,MAX_HOLD,WIN
KALYANKJIL,2023-02-14,2023-02-21,108.25,119.0,4,9.93,10.75,RSI_EXIT,WIN
KALYANKJIL,2023-03-14,2023-05-03,109.7,105.85,30,-3.51,-3.85,MAX_HOLD,LOSS
KALYANKJIL,2023-08-03,2023-08-10,166.0,185.9,4,11.99,19.9,RSI_EXIT,WIN
KALYANKJIL,2023-11-17,2023-12-26,316.0,335.8,24,6.27,19.8,RSI_EXIT,WIN
KALYANKJIL,2024-05-07,2024-06-20,401.0,426.0,30,6.23,25.0,MAX_HOLD,WIN
KALYANKJIL,2024-08-07,2024-08-16,549.0,570.5,5,3.92,21.5,RSI_EXIT,WIN
KALYANKJIL,2024-10-22,2024-12-06,707.35,720.65,30,1.88,13.3,MAX_HOLD,WIN
KALYANKJIL,2024-12-23,2025-01-02,727.7,778.1,6,6.93,50.4,RSI_EXIT,WIN
KALYANKJIL,2025-01-09,2025-01-14,708.9,581.05,2,-18.03,-127.85,SMA_EXIT,LOSS
CAMS,2022-11-02,2022-11-10,500.96,479.2,4,-4.34,-21.76,SMA_EXIT,LOSS
CAMS,2023-08-25,2023-10-11,486.62,484.7,30,-0.39,-1.92,MAX_HOLD,LOSS
CAMS,2023-10-27,2023-10-31,466.79,458.2,1,-1.84,-8.59,SMA_EXIT,LOSS
CAMS,2024-01-23,2024-02-01,556.2,586.75,5,5.49,30.55,RSI_EXIT,WIN
CAMS,2024-05-10,2024-05-22,627.99,683.0,7,8.76,55.01,RSI_EXIT,WIN
CAMS,2024-08-07,2024-09-20,807.6,891.0,30,10.33,83.4,MAX_HOLD,WIN
CAMS,2024-12-23,2025-01-02,992.0,1027.59,6,3.59,35.59,RSI_EXIT,WIN
CAMS,2025-01-13,2025-01-23,892.8,815.05,7,-8.71,-77.75,SMA_EXIT,LOSS
OFSS,2023-07-27,2023-08-17,3790.0,4109.8,13,8.44,319.8,RSI_EXIT,WIN
OFSS,2023-12-01,2023-12-12,4031.0,4199.15,6,4.17,168.15,RSI_EXIT,WIN
OFSS,2024-02-29,2024-03-11,7630.0,8472.35,6,11.04,842.35,RSI_EXIT,WIN
OFSS,2024-04-09,2024-05-07,8593.0,7725.0,16,-10.1,-868.0,RSI_EXIT,LOSS
OFSS,2024-05-27,2024-06-12,7584.65,8624.95,11,13.72,1040.3,RSI_EXIT,WIN
OFSS,2024-07-12,2024-07-18,10290.0,11044.05,2,7.33,754.05,RSI_EXIT,WIN
OFSS,2024-08-05,2024-08-22,9910.65,11224.0,11,13.25,1313.35,RSI_EXIT,WIN
OFSS,2024-10-23,2024-11-07,10899.0,11600.0,10,6.43,701.0,RSI_EXIT,WIN
OFSS,2024-11-21,2024-12-31,11126.0,12861.05,26,15.59,1735.05,RSI_EXIT,WIN
OFSS,2025-01-07,2025-01-17,12031.8,10064.55,7,-16.35,-1967.25,SMA_EXIT,LOSS
ABCAPITAL,2022-10-17,2022-10-27,109.85,116.2,6,5.78,6.35,RSI_EXIT,WIN
ABCAPITAL,2022-12-19,2023-01-03,152.0,156.25,10,2.8,4.25,RSI_EXIT,WIN
ABCAPITAL,2023-01-27,2023-03-02,137.5,152.5,23,10.91,15.0,RSI_EXIT,WIN
ABCAPITAL,2023-03-15,2023-04-10,146.4,158.75,14,8.44,12.35,RSI_EXIT,WIN
ABCAPITAL,2023-07-11,2023-07-27,185.65,192.35,11,3.61,6.7,RSI_EXIT,WIN
ABCAPITAL,2023-08-17,2023-08-24,181.0,187.5,4,3.59,6.5,RSI_EXIT,WIN
ABCAPITAL,2023-09-25,2023-11-09,175.45,175.15,30,-0.17,-0.3,MAX_HOLD,LOSS
ABCAPITAL,2024-05-09,2024-06-14,218.8,239.95,25,9.67,21.15,RSI_EXIT,WIN
ABCAPITAL,2024-07-09,2024-08-23,231.5,223.27,30,-3.56,-8.23,MAX_HOLD,LOSS
ABCAPITAL,2025-07-21,2025-08-20,263.9,287.6,20,8.98,23.7,RSI_EXIT,WIN
ABCAPITAL,2026-02-02,2026-02-27,327.5,357.7,18,9.22,30.2,RSI_EXIT,WIN
ABCAPITAL,2026-03-05,2026-03-24,325.0,301.65,12,-7.18,-23.35,SMA_EXIT,LOSS
TORNTPOWER,2022-08-26,2022-09-27,575.0,495.2,20,-13.88,-79.8,SMA_EXIT,LOSS
TORNTPOWER,2022-12-12,2022-12-23,528.65,493.2,8,-6.71,-35.45,SMA_EXIT,LOSS
TORNTPOWER,2023-06-26,2023-08-09,640.75,657.55,30,2.62,16.8,MAX_HOLD,WIN
TORNTPOWER,2023-09-25,2023-10-03,711.0,738.05,4,3.8,27.05,RSI_EXIT,WIN
TORNTPOWER,2023-11-24,2023-11-30,787.15,931.0,2,18.27,143.85,RSI_EXIT,WIN
TORNTPOWER,2024-01-18,2024-01-31,1001.95,1017.65,7,1.57,15.7,RSI_EXIT,WIN
TORNTPOWER,2024-05-08,2024-06-12,1370.0,1595.0,24,16.42,225.0,RSI_EXIT,WIN
TORNTPOWER,2024-06-24,2024-07-30,1503.9,1612.0,24,7.19,108.1,RSI_EXIT,WIN
TORNTPOWER,2024-10-29,2024-11-25,1837.2,1540.0,16,-16.18,-297.2,SMA_EXIT,LOSS
TORNTPOWER,2026-03-05,2026-04-01,1479.9,1345.0,16,-9.12,-134.9,SMA_EXIT,LOSS
IREDA,2024-10-08,2024-10-28,208.15,193.0,13,-7.28,-15.15,SMA_EXIT,LOSS
IREDA,2024-12-19,2024-12-24,200.05,202.5,2,1.22,2.45,SMA_EXIT,WIN
APLAPOLLO,2022-01-27,2022-01-28,837.7,819.0,0,-2.23,-18.7,SMA_EXIT,LOSS
APLAPOLLO,2022-08-26,2022-09-20,1035.0,1097.0,15,5.99,62.0,RSI_EXIT,WIN
APLAPOLLO,2022-11-11,2022-12-05,1049.95,1189.0,15,13.24,139.05,RSI_EXIT,WIN
APLAPOLLO,2022-12-26,2023-02-03,1028.0,1193.0,27,16.05,165.0,RSI_EXIT,WIN
APLAPOLLO,2023-04-28,2023-05-19,1210.0,1115.45,13,-7.81,-94.55,SMA_EXIT,LOSS
APLAPOLLO,2023-09-25,2023-10-17,1578.25,1721.95,14,9.11,143.7,RSI_EXIT,WIN
APLAPOLLO,2023-10-27,2023-11-15,1619.0,1700.0,12,5.0,81.0,RSI_EXIT,WIN
APLAPOLLO,2023-12-29,2024-02-05,1545.0,1478.65,24,-4.29,-66.35,SMA_EXIT,LOSS
